,Clase de disolución,Año,Comunidad Autónoma,Número Sociedades
118,Otras,2020,05 Canarias,59
119,Otras,2020,06 Canarias,24
120,Otras,2020,07 Castilla y León,77
121,Otras,2020,08 Castilla-La Mancha,47
122,Otras,2020,09 Cataluña,329
123,Otras,2020,10 Comunitat Valenciana,341
124,Otras,2020,11 Extremadura,14
125,Otras,2020,12 Galicia,150
126,Otras,2020,"13 Madrid, Comunidad de",346
127,Otras,2020,"14 Murcia, Región de",80
128,Otras,2020,"15 Navarra, Comunidad Foral de",22
129,Otras,2020,16 País Vasco,124
130,Otras,2020,"17 Rioja, La",12
131,Otras,2020,18 Ceuta,1
132,Otras,2020,19 Melilla,1
133,Por fusión,2020,01 Andalucía,318
134,Por fusión,2020,02 Aragón,51
135,Por fusión,2020,"03 Asturias, Principado de",21
136,Por fusión,2020,"04 Balears, Illes",90
137,Por fusión,2020,05 Canarias,27
138,Por fusión,2020,06 Canarias,12
139,Por fusión,2020,07 Castilla y León,72
140,Por fusión,2020,08 Castilla-La Mancha,25
141,Por fusión,2020,09 Cataluña,143
142,Por fusión,2020,10 Comunitat Valenciana,149
143,Por fusión,2020,11 Extremadura,9
144,Por fusión,2020,12 Galicia,89
145,Por fusión,2020,"13 Madrid, Comunidad de",1612
146,Por fusión,2020,"14 Murcia, Región de",46
147,Por fusión,2020,"15 Navarra, Comunidad Foral de",46
148,Por fusión,2020,16 País Vasco,183
149,Por fusión,2020,"17 Rioja, La",7
150,Por fusión,2020,18 Ceuta,0
151,Por fusión,2020,19 Melilla,1
152,Voluntaria,2020,01 Andalucía,2428
153,Voluntaria,2020,02 Aragón,556
154,Voluntaria,2020,"03 Asturias, Principado de",248
155,Voluntaria,2020,"04 Balears, Illes",746
156,Voluntaria,2020,05 Canarias,691
157,Voluntaria,2020,06 Canarias,173
158,Voluntaria,2020,07 Castilla y León,788
159,Voluntaria,2020,08 Castilla-La Mancha,270
160,Voluntaria,2020,09 Cataluña,1067
161,Voluntaria,2020,10 Comunitat Valenciana,1103
162,Voluntaria,2020,11 Extremadura,264
163,Voluntaria,2020,12 Galicia,1077
164,Voluntaria,2020,"13 Madrid, Comunidad de",4758
165,Voluntaria,2020,"14 Murcia, Región de",78
166,Voluntaria,2020,"15 Navarra, Comunidad Foral de",4
167,Voluntaria,2020,16 País Vasco,966
168,Voluntaria,2020,"17 Rioja, La",113
169,Voluntaria,2020,18 Ceuta,15
170,Voluntaria,2020,19 Melilla,14
171,Otras,2019,01 Andalucía,351
172,Otras,2019,02 Aragón,64
173,Otras,2019,"03 Asturias, Principado de",48
174,Otras,2019,"04 Balears, Illes",57
175,Otras,2019,05 Canarias,74
176,Otras,2019,06 Canarias,34
177,Otras,2019,07 Castilla y León,97
178,Otras,2019,08 Castilla-La Mancha,81
179,Otras,2019,09 Cataluña,362
180,Otras,2019,10 Comunitat Valenciana,394
181,Otras,2019,11 Extremadura,16
182,Otras,2019,12 Galicia,176
183,Otras,2019,"13 Madrid, Comunidad de",372
184,Otras,2019,"14 Murcia, Región de",105
185,Otras,2019,"15 Navarra, Comunidad Foral de",46
186,Otras,2019,16 País Vasco,139
187,Otras,2019,"17 Rioja, La",6
188,Otras,2019,18 Ceuta,1
189,Otras,2019,19 Melilla,3
190,Por fusión,2019,01 Andalucía,203
191,Por fusión,2019,02 Aragón,124
192,Por fusión,2019,"03 Asturias, Principado de",17
193,Por fusión,2019,"04 Balears, Illes",71
194,Por fusión,2019,05 Canarias,77
195,Por fusión,2019,06 Canarias,13
196,Por fusión,2019,07 Castilla y León,68
197,Por fusión,2019,08 Castilla-La Mancha,641
198,Por fusión,2019,09 Cataluña,222
199,Por fusión,2019,10 Comunitat Valenciana,319
200,Por fusión,2019,11 Extremadura,20
201,Por fusión,2019,12 Galicia,132
202,Por fusión,2019,"13 Madrid, Comunidad de",1191
203,Por fusión,2019,"14 Murcia, Región de",30
204,Por fusión,2019,"15 Navarra, Comunidad Foral de",32
205,Por fusión,2019,16 País Vasco,112
206,Por fusión,2019,"17 Rioja, La",15
207,Por fusión,2019,18 Ceuta,0
208,Por fusión,2019,19 Melilla,0
209,Voluntaria,2019,01 Andalucía,2760
210,Voluntaria,2019,02 Aragón,669
211,Voluntaria,2019,"03 Asturias, Principado de",328
212,Voluntaria,2019,"04 Balears, Illes",898
213,Voluntaria,2019,05 Canarias,768
214,Voluntaria,2019,06 Canarias,199
215,Voluntaria,2019,07 Castilla y León,895
216,Voluntaria,2019,08 Castilla-La Mancha,322
217,Voluntaria,2019,09 Cataluña,1201
218,Voluntaria,2019,10 Comunitat Valenciana,1197
219,Voluntaria,2019,11 Extremadura,262
220,Voluntaria,2019,12 Galicia,1171
221,Voluntaria,2019,"13 Madrid, Comunidad de",5441
222,Voluntaria,2019,"14 Murcia, Región de",156
223,Voluntaria,2019,"15 Navarra, Comunidad Foral de",6
224,Voluntaria,2019,16 País Vasco,1145
225,Voluntaria,2019,"17 Rioja, La",141
226,Voluntaria,2019,18 Ceuta,15
227,Voluntaria,2019,19 Melilla,23
228,Otras,2018,01 Andalucía,435
229,Otras,2018,02 Aragón,64
230,Otras,2018,"03 Asturias, Principado de",79
231,Otras,2018,"04 Balears, Illes",61
232,Otras,2018,05 Canarias,64
233,Otras,2018,06 Canarias,27
234,Otras,2018,07 Castilla y León,115
235,Otras,2018,08 Castilla-La Mancha,120
236,Otras,2018,09 Cataluña,401
237,Otras,2018,10 Comunitat Valenciana,443
238,Otras,2018,11 Extremadura,34
239,Otras,2018,12 Galicia,178
