Estados Sociedades;Actividad económica;Periodo;Total
Disueltas;Industria y energía;2020M01;11,2
Disueltas;Industria y energía;2019M12;10,88
Disueltas;Industria y energía;2019M11;9,33
Disueltas;Industria y energía;2019M10;12,04
Disueltas;Industria y energía;2019M09;22,45
Disueltas;Industria y energía;2019M08;10,31
Disueltas;Industria y energía;2019M07;22,66
Disueltas;Industria y energía;2019M06;11,14
Disueltas;Industria y energía;2019M05;20,71
Disueltas;Industria y energía;2019M04;13,2
Disueltas;Industria y energía;2019M03;9,06
Disueltas;Industria y energía;2019M02;10,36
Disueltas;Industria y energía;2019M01;30,78
Disueltas;Industria y energía;2018M12;13,66
Disueltas;Industria y energía;2018M11;10,89
Disueltas;Industria y energía;2018M10;11,6
Disueltas;Industria y energía;2018M09;10,25
Disueltas;Industria y energía;2018M08;17,32
Disueltas;Industria y energía;2018M07;21,69
Disueltas;Industria y energía;2018M06;9,04
Disueltas;Industria y energía;2018M05;11,32
Disueltas;Industria y energía;2018M04;9,32
Disueltas;Industria y energía;2018M03;9,74
Disueltas;Industria y energía;2018M02;12,25
Disueltas;Industria y energía;2018M01;9,27
Disueltas;Industria y energía;2017M12;13,9
Disueltas;Industria y energía;2017M11;10,56
Disueltas;Industria y energía;2017M10;12,05
Disueltas;Industria y energía;2017M09;13,19
Disueltas;Industria y energía;2017M08;7,63
Disueltas;Industria y energía;2017M07;13,76
Disueltas;Industria y energía;2017M06;8,72
Disueltas;Industria y energía;2017M05;9,21
Disueltas;Industria y energía;2017M04;12,95
Disueltas;Industria y energía;2017M03;11,27
Disueltas;Industria y energía;2017M02;9,4
Disueltas;Industria y energía;2017M01;12,02
Disueltas;Industria y energía;2016M12;12,13
Disueltas;Industria y energía;2016M11;9,81
Disueltas;Industria y energía;2016M10;10,16
Disueltas;Industria y energía;2016M09;10,52
Disueltas;Industria y energía;2016M08;15,73
Disueltas;Industria y energía;2016M07;13,03
Disueltas;Industria y energía;2016M06;15,52
Disueltas;Industria y energía;2016M05;11,56
Disueltas;Industria y energía;2016M04;10,84
Disueltas;Industria y energía;2016M03;12,05
Disueltas;Industria y energía;2016M02;11,24
Disueltas;Industria y energía;2016M01;14,59
Disueltas;Industria y energía;2015M12;10,92
Disueltas;Industria y energía;2015M11;10,21
Disueltas;Industria y energía;2015M10;10,35
Disueltas;Industria y energía;2015M09;8,75
