Provincias;Clase de disolución;Periodo;Total
03 Alicante/Alacant;Voluntaria;2017M11;60
03 Alicante/Alacant;Voluntaria;2017M10;42
03 Alicante/Alacant;Voluntaria;2017M09;35
03 Alicante/Alacant;Voluntaria;2017M08;33
03 Alicante/Alacant;Voluntaria;2017M07;30
03 Alicante/Alacant;Voluntaria;2017M06;37
03 Alicante/Alacant;Voluntaria;2017M05;45
03 Alicante/Alacant;Voluntaria;2017M04;26
03 Alicante/Alacant;Voluntaria;2017M03;54
03 Alicante/Alacant;Voluntaria;2017M02;70
03 Alicante/Alacant;Voluntaria;2017M01;124
03 Alicante/Alacant;Voluntaria;2016M12;77
03 Alicante/Alacant;Voluntaria;2016M11;49
03 Alicante/Alacant;Voluntaria;2016M10;50
03 Alicante/Alacant;Voluntaria;2016M09;28
03 Alicante/Alacant;Voluntaria;2016M08;36
03 Alicante/Alacant;Voluntaria;2016M07;28
03 Alicante/Alacant;Voluntaria;2016M06;40
03 Alicante/Alacant;Voluntaria;2016M05;43
03 Alicante/Alacant;Voluntaria;2016M04;44
03 Alicante/Alacant;Voluntaria;2016M03;44
03 Alicante/Alacant;Voluntaria;2016M02;49
03 Alicante/Alacant;Voluntaria;2016M01;121
03 Alicante/Alacant;Voluntaria;2015M12;73
03 Alicante/Alacant;Voluntaria;2015M11;57
03 Alicante/Alacant;Voluntaria;2015M10;32
03 Alicante/Alacant;Voluntaria;2015M09;43
03 Alicante/Alacant;Voluntaria;2015M08;39
03 Alicante/Alacant;Voluntaria;2015M07;36
03 Alicante/Alacant;Voluntaria;2015M06;21
03 Alicante/Alacant;Voluntaria;2015M05;39
03 Alicante/Alacant;Voluntaria;2015M04;34
03 Alicante/Alacant;Voluntaria;2015M03;50
03 Alicante/Alacant;Voluntaria;2015M02;39
03 Alicante/Alacant;Voluntaria;2015M01;91
03 Alicante/Alacant;Voluntaria;2014M12;65
03 Alicante/Alacant;Voluntaria;2014M11;45
03 Alicante/Alacant;Voluntaria;2014M10;57
03 Alicante/Alacant;Voluntaria;2014M09;25
03 Alicante/Alacant;Voluntaria;2014M08;34
03 Alicante/Alacant;Voluntaria;2014M07;35
03 Alicante/Alacant;Voluntaria;2014M06;31
03 Alicante/Alacant;Voluntaria;2014M05;27
