,Comunidad Autónoma,Forma jurídica,Sociedades o Capital desembolsado,Año,Número Sociedades/Capital,Población
1511,11 Extremadura,"S. COM., S. COM. P.A. y S.C.",capital (en miles de euros) desembolsado,2006,0.0,1.086.373
1512,11 Extremadura,"S. COM., S. COM. P.A. y S.C.",capital (en miles de euros) desembolsado,2005,0.0,1.083.879
1513,11 Extremadura,"S. COM., S. COM. P.A. y S.C.",capital (en miles de euros) desembolsado,2004,0.0,1.075.286
1514,11 Extremadura,"S. COM., S. COM. P.A. y S.C.",capital (en miles de euros) desembolsado,2003,0.0,1.073.904
1515,11 Extremadura,"S. COM., S. COM. P.A. y S.C.",capital (en miles de euros) desembolsado,2002,0.0,1.073.050
1516,11 Extremadura,"S. COM., S. COM. P.A. y S.C.",capital (en miles de euros) desembolsado,2001,0.0,1.073.381
1517,11 Extremadura,"S. COM., S. COM. P.A. y S.C.",capital (en miles de euros) desembolsado,2000,0.0,1.069.420
1518,12 Galicia,S.A.,Número de Sociedades,2022,7.0,2.692.825
1519,12 Galicia,S.A.,Número de Sociedades,2021,15.0,2.695.645
1520,12 Galicia,S.A.,Número de Sociedades,2020,12.0,2.701.819
1521,12 Galicia,S.A.,Número de Sociedades,2019,12.0,2.699.499
1522,12 Galicia,S.A.,Número de Sociedades,2018,13.0,2.701.743
1523,12 Galicia,S.A.,Número de Sociedades,2017,14.0,2.708.339
1524,12 Galicia,S.A.,Número de Sociedades,2016,15.0,2.718.525
1525,12 Galicia,S.A.,Número de Sociedades,2015,15.0,2.732.347
1526,12 Galicia,S.A.,Número de Sociedades,2014,14.0,2.748.695
1527,12 Galicia,S.A.,Número de Sociedades,2013,17.0,2.765.940
1528,12 Galicia,S.A.,Número de Sociedades,2012,23.0,2.781.498
1529,12 Galicia,S.A.,Número de Sociedades,2011,32.0,2.795.422
1530,12 Galicia,S.A.,Número de Sociedades,2010,44.0,2.797.653
1531,12 Galicia,S.A.,Número de Sociedades,2009,22.0,2.796.089
1532,12 Galicia,S.A.,Número de Sociedades,2008,67.0,2.784.169
1533,12 Galicia,S.A.,Número de Sociedades,2007,70.0,2.772.533
1534,12 Galicia,S.A.,Número de Sociedades,2006,86.0,2.767.524
1535,12 Galicia,S.A.,Número de Sociedades,2005,92.0,2.762.198
1536,12 Galicia,S.A.,Número de Sociedades,2004,66.0,2.750.985
1537,12 Galicia,S.A.,Número de Sociedades,2003,90.0,2.751.094
1538,12 Galicia,S.A.,Número de Sociedades,2002,113.0,2.737.370
1539,12 Galicia,S.A.,Número de Sociedades,2001,108.0,2.732.926
1540,12 Galicia,S.A.,Número de Sociedades,2000,146.0,2.731.900
1541,12 Galicia,S.A.,capital (en miles de euros) desembolsado,2022,15.31,2.692.825
1542,12 Galicia,S.A.,capital (en miles de euros) desembolsado,2021,10.232,2.695.645
1543,12 Galicia,S.A.,capital (en miles de euros) desembolsado,2020,1.97,2.701.819
1544,12 Galicia,S.A.,capital (en miles de euros) desembolsado,2019,57.305,2.699.499
1545,12 Galicia,S.A.,capital (en miles de euros) desembolsado,2018,686.0,2.701.743
1546,12 Galicia,S.A.,capital (en miles de euros) desembolsado,2017,964.0,2.708.339
1547,12 Galicia,S.A.,capital (en miles de euros) desembolsado,2016,2.035,2.718.525
1548,12 Galicia,S.A.,capital (en miles de euros) desembolsado,2015,2.122,2.732.347
1549,12 Galicia,S.A.,capital (en miles de euros) desembolsado,2014,57.339,2.748.695
1550,12 Galicia,S.A.,capital (en miles de euros) desembolsado,2013,23.11,2.765.940
1551,12 Galicia,S.A.,capital (en miles de euros) desembolsado,2012,19.442,2.781.498
1552,12 Galicia,S.A.,capital (en miles de euros) desembolsado,2011,240.689,2.795.422
1553,12 Galicia,S.A.,capital (en miles de euros) desembolsado,2010,10.664,2.797.653
1554,12 Galicia,S.A.,capital (en miles de euros) desembolsado,2009,12.857,2.796.089
1555,12 Galicia,S.A.,capital (en miles de euros) desembolsado,2008,175.605,2.784.169
